City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,zyryanskoye,56.8306,86.6258,-13.77,95,98,3.53,RU,1675817547
84,port alfred,-33.5906,26.891,20.66,90,100,1.34,ZA,1675817547
85,deputatskiy,69.3,139.9,-42.91,99,56,1.81,RU,1675817548
86,hithadhoo,-0.6,73.0833,27.31,71,11,3.89,MV,1675817549
87,bethel,41.3712,-73.414,2.79,74,40,2.57,US,1675817550
88,listvyagi,53.6772,86.951,-9.26,92,100,1.92,RU,1675817553
89,kaitangata,-46.2817,169.8464,14.57,54,11,7.13,NZ,1675817554
90,karratha,-20.7377,116.8463,32.63,45,19,2.81,AU,1675817554
91,narasannapeta,18.4167,84.05,19.4,88,5,1.86,IN,1675817555
92,georgetown,5.4112,100.3354,25.96,94,20,2.06,MY,1675817469
93,longyearbyen,78.2186,15.6401,-6.09,93,100,10.8,SJ,1675817403
94,billings,45.7833,-108.5007,7.87,45,75,6.69,US,1675817426
95,stettler,52.3168,-112.7186,-0.14,74,100,4.12,CA,1675817556
96,te anau,-45.4167,167.7167,14.28,44,48,5.09,NZ,1675817556
97,tabou,4.423,-7.3528,26.1,86,100,2.82,CI,1675817557
98,rudnogorsk,57.2639,103.7519,-17.75,99,100,0.77,RU,1675817557
99,kahului,20.8947,-156.47,27.01,74,40,10.8,US,1675817558
100,ekhabi,53.5102,142.9671,-23.59,84,100,3.82,RU,1675817559
101,zhangjiakou,40.81,114.8794,-5.78,61,54,1.31,CN,1675817560
102,bambanglipuro,-7.95,110.2833,24.6,89,100,2.34,ID,1675817560
103,hay river,60.8156,-115.7999,-19.01,78,75,3.6,CA,1675817561
104,chernyshevskiy,63.0128,112.4714,-32.33,98,100,0.2,RU,1675817561
105,cape town,-33.9258,18.4232,21.06,72,0,6.71,ZA,1675817465
106,nyurba,63.2842,118.3319,-35.64,98,100,0.57,RU,1675817561
107,provideniya,64.3833,-173.3,-18.94,65,100,2.0,RU,1675817563
108,kosh-agach,50.0,88.6667,-25.19,96,100,1.0,RU,1675817564
109,delijan,33.9905,50.6838,3.18,59,3,1.14,IR,1675817564
110,bluff,-46.6,168.3333,11.56,61,67,11.15,NZ,1675817564
111,aljezur,37.3191,-8.8033,9.11,89,6,2.59,PT,1675817565
112,vangaindrano,-23.35,47.6,22.19,90,100,0.99,MG,1675817565
113,ardabil,38.2498,48.2933,-0.25,69,75,8.23,IR,1675817567
114,port hedland,-20.3167,118.5667,33.03,55,11,1.54,AU,1675817389
